"","cta_name","program_name","program_id","minDate"
"1","Abraham Trading Company","Abraham Diversified Program",18600,"1990-01-31"
"2","AgTech Trading Company","Ag Trading Program *PROP*",18602,"1994-09-30"
"3","Alder Capital Limited","Global 20 Program",19201,"2001-02-28"
"4","Altis Partners (Jersey) Limited","Global Futures Portfolio",19740,"2001-08-31"
"5","Blackheath Fund Management Inc","Blackheath Sentiment Strategy *QEP*",74831,"2003-03-31"
"6","Briarwood Capital Management Inc.","Diversified Program",19628,"2001-07-31"
"7","Byron Capital Partners Ltd.","SAFI2 *QEP* *FRN*",83836,"1997-09-30"
"8","Campbell & Company, LP","Campbell Managed Futures",18610,"1983-04-30"
"9","Chesapeake Capital Corporation","Diversified Program *QEP*",19549,"1990-01-31"
"10","Clarke Capital Management, Inc.","Worldwide Program",18616,"1996-01-31"
"11","Clarke Capital Management, Inc.","Millennium Managed Account Program",18738,"1998-01-31"
"12","Clarke Capital Management, Inc.","Global Magnum Program",18695,"1997-08-31"
"13","Clarke Capital Management, Inc.","Global Basic Managed Account Program",18615,"1996-02-29"
"14","Clarke Capital Management, Inc.","FXF-Plus Program",30941,"2004-05-31"
"15","Conquest Capital Group LLC","Conquest Macro *QEP*",19999,"1999-05-31"
"16","Denali Asset Management, LLLP","Denali Partners, LP *QEP*",19429,"2000-06-30"
"17","Di Tomasso Group Inc.","Equilibrium Program *QEP*",20016,"2002-01-31"
"18","Doherty Advisors, LLC","Relative Value Volatility 2X *QEP*",33515,"2003-06-30"
"19","Doherty Advisors, LLC","Relative Value Volatility 1X *QEP*",33512,"2003-06-30"
"20","Dreiss Research Corporation","Global Diversified Program *QEP*",18627,"1991-05-31"
"21","Drury Capital, Inc.","Diversified Trend-Following Program *QEP*",18884,"1997-05-31"
"22","DUNN Capital Management, Inc.","World Monetary and Agriculture (WMA) Program *QEP*",18629,"1990-01-31"
"23","Eckhardt Trading Company","Standard Plus Program",18631,"1991-10-31"
"24","Eckhardt Trading Company","Standard Program",18632,"1991-08-31"
"25","Eclipse Capital Management, Inc.","Global Monetary Program *QEP*",18633,"1990-08-31"
"26","EMC Capital Advisors LLC","Classic Program *QEP*",18635,"1990-01-31"
"27","Estlander & Partners Ltd.","Global Markets Program *QEP*",19184,"1999-08-31"
"28","Estlander & Partners Ltd.","Alpha Trend *QEP*",74980,"2001-01-31"
"29","Estlander & Partners Ltd.","Global XL Program *QEP*",18852,"1991-08-31"
"30","FORT LP","Global Contrarian Program",20009,"2002-10-31"
"31","FTC Capital GmbH","FTC Futures Fund Classic B-EUR *FRN*",80410,"1995-01-31"
"32","Goldman Management, Inc.","Goldman Management Stock Index Futures *PROP* *QEP*",82803,"2002-02-28"
"33","Hamer Trading, Inc.","Diversified Systematic Program  *PROP*",19017,"1999-09-30"
"34","Hawksbill Capital Management","Global Diversified Program *QEP*",18642,"1990-01-31"
