"","Factor 1","Factor 2","Factor 3","Factor 4","Factor 5","Factor 6","Factor 7","Factor 8","Factor 9","Factor 10","Factor 11","Factor 12","Factor 13","Factor 14","Factor 15","Factor 16","Factor 17","Factor 18","Factor 19","Factor 20","Factor 21","Factor 22","Factor 23","Factor 24","Factor 25","Factor 26","Factor 27","Factor 28","Factor 29","Factor 30","Factor 31","Factor 32","Factor 33","Factor 34","Factor 35","Factor 36","Factor 37","Factor 38","Factor 39","Factor 40","Factor 41","Factor 42","Factor 43","Factor 44","Factor 45","Factor 46","Factor 47","Factor 48","Factor 49","Factor 50","Factor 51","Factor 52","Factor 53","Factor 54","Factor 55","Factor 56","Factor 57","Factor 58","Factor 59","Factor 60","Factor 61","Factor 62","Factor 63","Factor 64","Factor 65","Factor 66","Factor 67","Factor 68","Factor 69","Factor 70","Factor 71","Factor 72","Factor 73","Factor 74","Factor 75","Factor 76"
"X18600",0.15299163006837,0.0423537913295019,-0.0215154678819997,0.00393705785480208,-0.0304595397864893,0.0126456799976764,-0.0274890840030333,-0.00536524475480951,0.0882237367560505,-0.0790984617495761,0.0327523905925088,0.0437461913372759,0.0712305280003238,-0.100180650497301,-0.0421318756435893,-0.00641816387264501,-0.0767726655753872,-0.189291047521995,-0.0372954376920475,-0.0494520323662963,0.0180980309330573,-0.0172135657907904,0.114662220298193,0.168499088088206,-0.24204066376433,-0.0972908941556258,0.110640967290192,-0.0572813434194274,-0.11614054380099,0.294198104454782,0.061308675504848,-0.0580477376045693,-0.195889085846277,-0.245119077822249,0.335467912448615,-0.035163752326594,0.142805437645371,0.20346312557271,-0.12844760616115,0.128583940936789,0.00844900496596936,-0.0839703134245786,0.102994449261453,0.0199802528267262,-0.0584130792662297,0.12613373645488,-0.0655606512045721,0.0975852886089501,0.111344235853655,0.102713757676492,0.00509465696180563,0.185728885146849,0.300811725561333,0.0713312641505981,-0.0302616194061264,-0.00232042625345279,-0.0821935611865531,0.120261526760622,0.115437636949856,-0.0202908481061097,-0.0829187300447933,0.176544002489351,0.130018652892398,0.0355793603882422,0.125259862464462,-0.073784987752929,0.0208694867135272,-0.169978119165498,-0.0330979419119916,-0.0591484953053287,0.0087686485837747,-0.0158358655761197,0.0139484692892666,0.0314253988759185,-0.000546928370623787,0.00111308802148653
"X18602",0.00524384299210301,-0.0932662486439738,0.144618008150301,0.162497280254438,0.0686111704564117,0.237996316808639,0.0330738989564494,0.238646512067101,0.0935003185010745,0.110360648409387,-0.104497449524261,0.139913401050499,0.0413593212368193,0.221548098812727,0.215942493019787,-0.297169130931273,0.0959008863042619,-0.119113653619643,-0.169256932811593,0.0790984024633649,0.0941731389271857,0.0316237322496834,-0.302552275768269,0.214127194941023,0.00350458932293549,0.189518608487234,-0.06136495655247,0.152581378586367,-0.0824689867848794,-0.0906322586736736,-0.144429066123181,0.0624907998496161,-0.296225292155026,-0.230793983746902,-0.0989945795121743,0.0301526327306118,0.0643646649394909,-0.1344478254596,0.018638885087138,0.0540171662271373,-0.0819366173868125,-0.0901493162108184,-0.133362788120162,-0.0414141521213018,0.0496267404266312,-0.026385095458828,0.0530928844942187,0.0782089717215206,0.0261079890409572,0.0380540492233465,-0.0840130024951687,0.071208249778563,0.0184215145919911,0.0111545535769599,-0.0480742376153212,0.0139573809953792,-0.000662734565808176,-0.0163483392559914,-0.0024253679299708,-0.0530159110613887,0.0200112153386875,-0.0247519883494396,0.0292148892094494,0.123652867506926,0.0164383729153807,0.0652699899316345,0.0980293116399823,0.0460240412474717,-0.0121178991907827,0.0286782318825829,-0.00938595158501455,0.0216674286697941,0.0109293715314422,0.00248982484129239,-0.00877157831864206,-0.00138035209266272
"X19201",0.0757191049323399,0.00824360918527178,-0.0313916565369036,0.12516164701589,-0.0851202327609812,-0.107896023478543,0.130001004725313,-0.163935640138155,0.105205949503765,0.126122675363698,-0.164142668125348,-0.337876296444592,0.334823448823232,-0.142962669719273,-0.0598705175176706,0.307301061956179,0.0174762935486069,0.108758336260995,-0.229614046663774,-0.0597161689572065,-0.157533774343088,0.0217616112908433,-0.0255533828653039,0.180190495865739,0.0554450737779103,0.0793877511464746,-0.0333652587829478,0.0231856091211907,0.0658366279142325,-0.192395467345543,-0.213606461536017,0.107901287253934,-0.0160063953153915,-0.197600746610459,0.0240758864802302,-0.126569759692918,-0.188836861437682,-0.0154484057294145,-0.0691472850719091,-0.145749221187499,-0.0540910573370554,-0.0621563069652398,-0.0884497689282753,0.161755838188538,-0.0186913390041546,-0.0179483199229351,-0.00578737655004988,0.168979022233692,-0.11468164541842,0.0225798177539874,0.0524315390590438,0.046441786745928,0.0571727486732563,0.057607462389372,0.105089068619931,-0.0400743729252961,0.00793718049754163,-0.0371193775185505,-0.00983587143400347,0.0056824743937852,-0.13161391469801,-0.00643261539061543,0.151345488078808,0.0290648137678295,-0.0939830493530562,-0.00982005359463192,0.0394876115273365,0.0115682061262438,-0.00516586471003426,0.0181415474183457,-0.0101518007347461,-0.0142727054998727,0.00910489533947068,-0.00626728424634076,-0.00174577446118697,-0.00141224936757994
"X19740",0.150365505026862,0.0697988512494636,0.0368911989512018,0.0919827431588015,0.0361668875741806,0.150064207766718,-0.0616276759047996,0.0051382734073728,0.00427009492548178,0.136463671298498,-0.0635016918624807,-0.096143951711738,-0.0643314354372594,-0.11521708263848,0.00960010169307207,0.0129834926378942,-0.00630180817025068,-0.0868824190470098,-0.0966668019484754,-0.0375362112088528,0.133171478539953,-0.0256178388752405,-0.0594147042141456,0.0379777141662319,0.0794344157463429,0.0652879894433204,0.107390578216409,-0.0498849745332057,-0.14770256305258,0.0116278328590637,-0.0986977838992254,0.142244326568821,0.24000585590836,-0.107464986577507,-0.242149617768527,0.0864988795700378,-0.122439693550283,0.107556784410501,-0.0710746210851826,0.188444101684049,0.0176021895638551,0.0156102984477244,0.0563974897739426,-0.0062711615589648,-0.121935554460658,0.0762401207438596,0.0162248461508568,-0.347544079489118,-0.0644581147215243,-0.27273445815109,-0.0225775019990421,0.164545893653861,-0.0118772275028071,-0.0309342042586789,0.00425190724144302,0.108595150354489,-0.197455764620357,-0.0277449026895454,0.202958755939288,-0.0307552901566485,-0.187499768356035,-0.0130922848186677,-0.132645616310116,0.0128840862306336,0.0767965722164985,-0.0755565065102166,-0.370920174708302,-0.0926796619452836,0.0463085220683436,0.036603674318758,0.0429724531331369,-0.042100022785126,0.00392426826000438,-0.00698890295398103,-0.0191509932249509,0.00134725209703301
"X74831",0.0660406742625756,-0.0723322940349606,-0.108268702391232,0.180961662351277,0.152971394742089,0.00597236647782536,0.216207282703676,-0.0155978510853748,0.14828007206707,-0.128421210823119,-0.0526115115000264,-0.174815788545188,0.0514832234121673,-0.137743500222441,-1.28892952300404e-06,-0.0466230634674402,0.300833723220204,0.221139212238989,0.110070082185795,0.331829479238906,0.186426099940652,-0.284461935006594,0.0176532783518202,0.155531371530002,-0.142471149861446,0.133534457724936,-0.0643757019212718,-0.016317303997473,-0.108102844735288,0.190282436507248,0.114083130515476,0.038248300935825,0.164994412507738,0.0663266408194166,0.15001044669204,-0.0302717436912979,-0.044374784456061,-0.119793057395542,0.081463048896006,0.0382631538345261,-0.018879379446786,-0.0893692620001045,0.220373920417379,-0.176838441817942,0.0625038654614969,-0.108357048105559,0.00422262254913292,0.0183808674630539,-0.0306717765555247,-0.0852470377941641,-0.0298968011895368,-0.0643180301628725,-0.0412019382628915,-0.0855416039562799,-0.128552286997914,0.0322963760154493,-0.0203138740416339,0.0705531413237135,-0.130011234484501,-0.055355631465757,-0.0862961227040085,0.0202145213583095,0.0107736687851156,0.0700373197977406,-0.0485362860551497,0.0737944140635743,-5.38250459619187e-05,0.0385136374295622,-0.0205715929164585,0.0379536090881437,-0.0131506394620762,0.0110900289322728,-0.00537364589078178,-0.00368057060027849,0.00166583632980999,0.000430485802217339
"X19628",0.0812492939605967,-0.116239889678821,-0.147465538383183,-0.0558834461916959,0.0293208070445002,-0.217286804738544,-0.0204105574480401,-0.0953779675787175,-0.230508731312361,0.0676785045864099,-0.154742386609862,0.0680241752888535,-0.144934969254367,-0.0396087864153032,-0.106400765067936,0.0818191507218584,0.241411523695535,-0.0501749756368536,-0.190922217372649,-0.00594654906306194,0.0183354601333045,0.343665863587576,-0.0519634711513719,0.0407474192023324,-0.0120270372041841,-0.1826738716557,-0.0611986896451568,-0.148645653780645,-0.141607731284213,0.204197940116417,-0.164799625178423,0.133990860426357,-0.0403587160968517,-0.0145678881050246,-0.103303228637684,-0.189259154953834,0.0720066026712322,-0.243896604011104,0.10910852455673,0.0748363653282919,-0.0171889171529561,-0.21021707147614,0.0452834857102883,-0.0497039341141461,0.0771800567660478,0.208124864579433,0.0383121569950711,-0.0612825022543143,-0.0560478637838173,0.0863083286113901,0.00702490118720927,0.0441322780295074,-0.140184182466785,-0.0310431879655787,-0.23373759406566,-0.070857758266509,0.00795626792057267,-0.0651432302909995,-0.125311792587338,0.00908283962608766,0.0795224528214309,0.0908580716737234,-0.0512125756282256,-0.0369808458515888,-0.00112412538393179,-0.10869642541531,0.0259276294978219,-0.0540713301320969,-0.0208911594248926,-0.0446307774132334,-0.0210082166296907,-0.00996198012598222,0.00104958843717052,0.0120425867028572,0.0138676513924019,-0.000376595242239165
"X83836",0.0853279361390058,-0.110635647300696,0.0562652437881155,0.0296394177854739,0.00997668717227429,0.0164385810290557,-0.160195857157136,0.0186722847568491,0.140754175249217,-0.0253206099182484,0.206250320415676,-0.399152970085102,-0.150993668656947,0.0786471277449673,-0.199795913427423,0.148878091054607,-0.0894305505573126,0.140563315887085,0.179915952344026,0.244282588669944,0.0856754501600454,0.19408210608089,-0.172502819883515,-0.138374987175269,-0.142677524293987,0.104740571636305,0.0717791957672095,-0.114841449265072,0.0352114149518424,-0.0968248589003809,-0.245037351411633,0.065642847580597,-0.0052935466417454,-0.0641352869564237,-0.0584216900736771,0.0378101583274381,0.214007450666833,0.171193274142867,0.118206780880919,0.0192726791491183,0.0424229675734771,-0.0163047673516528,-0.178229359780521,-0.159296058837402,0.0470063348435557,0.0637583128216873,-0.0904488239615175,-0.0557141567165544,0.232422309101988,0.0429030302940256,-0.0444917852715322,0.00434054847433028,0.0987215016125002,0.00615980097253123,0.0226055382964318,-0.0824514807861546,0.00855043933707205,-0.0244143152114919,-0.0670033012264369,-0.0147485555561002,0.041400554015097,0.0288316526316355,-0.0480165206904912,0.142472703245326,0.0511640346041778,-0.0776106047784548,0.0798715567577674,0.0358318970879833,-0.00898511808840041,0.00885588131510162,-0.0218782059593308,0.0182360142579147,0.0136460339817454,0.0102458597798664,-0.00735417815260089,0.0048821533026254
"X18610",0.118075047490432,0.138860625346294,-0.0130908728754585,0.0998152550027961,-0.212413253302173,-0.16437120403458,0.0126299866375159,0.0134987484016048,0.138065268374279,0.0428624480577287,0.0346781515937941,0.0513941472796606,-0.0106001940352237,0.159964797050885,-0.0406189894588629,-0.0139770167005912,-0.0284908314629096,-0.0299028851526316,-0.0652255211590477,-0.102886636158419,0.121987449308417,0.193049264886194,0.118514526458536,0.0888026398505421,-0.134906402706101,0.0397223654242623,0.187030782265255,0.109920963065936,0.098525120926963,0.0679455934909679,-0.18690800451373,-0.0967805062887318,-0.120804593793808,0.226207641860111,-0.041281699144062,-0.0442674041026019,-0.0865078723325399,-0.00732868423093302,-0.0171131946728588,0.0781234308514589,0.154986213281733,-0.0112883852959288,0.203165588766873,-0.0819337452265084,-0.0966076870361296,-0.115969651570139,-0.132780506222144,-0.134335368979902,0.0178609079469269,-0.144093897225345,-0.0876390880277581,-0.102006981818321,-0.232437977800624,-0.165824422454785,0.14313574628098,-0.0817408364681109,-0.107868827529653,-0.0385339641626178,0.00929997384340529,-0.156771301968261,0.0303063555304891,-0.0277060913011143,0.246223695411406,0.195110200489789,-0.110590968106904,0.204358195201992,0.149228304621797,-0.183487054072219,0.0141871854855482,0.0579741039358016,0.0343555058059422,0.0306848398127701,-0.010493454925724,-0.00184515960615317,-0.00653294974765266,0.0052110572305547
"X19549",0.124392287017632,0.223154592557432,-0.0265305471209165,0.0405373960076288,0.107038428965677,0.0689335354932609,0.0899213012466143,0.0521618653889956,0.027371792558778,0.0229930365171,0.102523879012393,0.0698585904382498,0.013994160937307,0.0167102745820153,-0.0384580346545109,0.163376025402264,-0.00175649657312595,0.101852458482692,-0.0506251268204758,0.0253127059920035,0.111245313880643,-0.0187288151387096,0.0870767637720602,-0.00956027793747927,0.0175387579654139,0.0604280962002382,0.110739469469668,-0.0605610589405936,-0.0889970173863867,0.00909512750164973,-0.0550610216922239,-0.081863972804382,-0.0612457447717933,-0.00224474674875925,-0.0879164946740628,0.0601917647692071,0.0684036571802861,-0.106222950980958,0.0721341120907993,0.050974922154242,-0.142882869004695,0.0500800782184309,-0.203236057020431,0.0446322144132409,0.149497379092348,0.0236175039673015,0.200036374348303,0.201781241205703,-0.0352811984470603,-0.0909273512336717,0.109409339688649,-0.155362722822348,-0.0337742303806758,-0.111129563481631,0.219640036650587,0.0997796199080093,0.049326016287147,0.0658365473672919,0.0206728749820636,-0.123584571856289,0.307729813287429,0.498243824185696,0.00627009299222134,-0.10388221051482,-0.0354315219972277,0.0616601892018183,-0.23681772291777,-0.132528905448841,-0.064794406655593,-0.0392394987818606,0.0145635487976291,0.00914576472562994,-0.0302720667907022,0.0210173881214548,-0.000551533901721337,0.00802946594775438
"X18616",0.139052738836476,-0.134977041391639,-0.103650418259042,-0.0604472339152052,-0.0383780169248255,0.00264459880503831,0.0295596070663672,-0.127676115747966,-0.0604986545298684,0.0209669206960561,0.0487417682338049,-0.0609464383938957,-0.0726360485984855,0.021994611952575,0.0496833073957413,-0.202913281130174,0.00728737316519205,-0.0091130928289137,-0.0307404481670572,0.11117581649115,0.000309147054810359,-0.134540712817665,-0.10140220033056,0.0967389364216902,-0.0270099952916289,0.0756367375953853,0.110352951209652,-0.0880250684059154,-0.0567886338374852,0.302787869477254,0.0617073419866254,0.0537459420203077,-0.015671934176844,0.0408365974945382,-0.144060292184115,-0.0386817745375391,-0.0308005122403686,0.20661313763512,0.0498660595510097,-0.0545056686659055,0.0650201809510859,0.1066438288554,-0.064124410635255,0.292054043253771,0.250451170502682,0.0453079202384471,-0.236965663327202,-0.0800326678040103,-0.16826332637127,-0.0661929356325356,0.0106233366537661,0.112509061406142,-0.107489817363198,0.267352594427971,0.235732910880392,0.00766680323550037,0.0840436595807264,-0.168468278627203,0.0599736604613966,0.141594021217305,0.219717238099897,0.0494907955317841,0.190145153333571,0.0079109783124121,-0.115027528475098,0.00318435805267013,0.0649128377251471,0.180838907622375,0.0498842443338737,0.00122375371620523,-0.0336099097412545,0.0241841783869846,-0.0172322215083819,0.0106974150920809,-0.0101046979972683,-0.00156815777267412
